,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
Forecast_Spend,0.20199701570420217,0.3048191360145728,0.15341483855842578,0.41879446240670926,0.180689801451158,0.012023967158121571,0.018106002610180586,0.053061169081917034,-0.061625886008092365,-0.040430736226428045
Revision_Number,-0.3898614159405114,0.0855358770383034,-0.0230406619470106,-0.03444460075998418,0.0698582663524154,-0.02812831456816411,-0.2436408644904703,-0.18220863976153423,0.5784869422305363,0.4077471460607162
Previous_Forecast_Spend,0.19463129546914837,0.4279730795588935,0.11825565996852881,0.2460746028073026,0.014608562309024005,-0.04898363267330171,-0.04179329486204861,-0.03361624446280697,0.2633390369992147,0.1279293460312473
Forecast_Change,-0.26647737388889037,-0.41840696775062786,-0.00475481517338124,0.07358899078663057,0.15416045833864858,0.04629217373421477,0.0010539876637558822,0.010285701456137383,-0.16906300677174083,-0.09628857885979603
Forecast_Stability_Score,0.3026481540553796,0.22810986078323572,-0.11103481737955916,-0.36218175560553256,-0.2696784524433144,-0.007565193132662196,0.06746298772288206,0.043138918725911295,-0.1900075893577375,-0.11864973760080098
Days_Before_Period,0.42418299087267575,-0.20223351714144472,0.025244670982732694,0.05723792762891289,0.016766412010834626,0.034105290070142937,0.11167383371528326,0.0667529564999133,0.03584464617972812,0.09405036076870923
Committed_Spend,-0.10580720147884357,0.4405881794586055,0.13306245698154998,0.32768559229282695,0.09227342786812316,-0.013172114227076722,0.0021263863262756685,-0.016738128896781862,-0.20636718203826138,-0.13397706007653506
Commitment_Ratio,-0.4236580740499979,0.20880753359762147,-0.014211984583042797,-0.042843349346204554,-0.04374965233101205,0.006585004467751743,0.009766449839052886,-0.03832565672492026,-0.23625306839344284,-0.143675774967645
PO_Count,-0.2599645385208004,0.12254393129324463,-0.0025027833878558713,-0.05661905934694109,-0.03924632535550146,0.030776670118109514,0.605962509522761,0.6977128329021651,0.18860393959347643,0.12325978942086585
Programme_Change_Count,0.05840967732625214,0.16519430866002868,-0.22650813627377558,-0.20980926800412222,0.4608957857813819,0.35640139515478886,-0.1188078944639418,0.09669541643134248,-0.410658944854368,0.5798264334402091
Programme_Scope_Churn_Index,0.06454225043154846,0.09118672296573915,-0.18474028007670243,-0.22682937356143287,0.4760809177410176,-0.15790597192517847,-0.43747816385137994,0.42614106094032866,0.22195790079167269,-0.4710995862383508
Programme_Change_Impact_Index,0.029928457840179633,0.10614400804923654,-0.2846981321429858,-0.11793853128879137,0.3841743770488521,0.29660044556339205,0.520167543817335,-0.47537727836950433,0.2490336302352774,-0.31358827867911526
forecast_version_month,0.001581089832769623,0.01031404971899458,0.6002511811903966,-0.30974494885828696,0.1891174998048293,-0.010373227323957918,0.059008769546297246,-0.06444585749251679,-0.005803485064734397,-0.00551615762179258
forecast_version_quarter,0.0010279096855590724,0.007712684561046172,0.600556321378244,-0.3092233467591406,0.189034111354835,-0.0028308725666369486,0.062381235597327875,-0.06231861479722646,-0.0064914973350256545,-0.010368270329951792
forecast_period_month,-0.014217376084490961,-0.008481972464945375,0.1618359824916271,0.05522124433611163,-0.26288170716945003,0.8652908874641354,-0.2493377920686379,0.15695381619693863,0.16135862928516184,-0.19902613175270856
forecast_change_pct,-0.10785975897733494,-0.30467948535684525,0.1266973897675584,0.4421620257743497,0.33357106936816094,0.056749223581059834,0.06237167821798898,0.08083111566793523,-0.12739756467962707,-0.07006390285039414
forecast_to_committed_ratio,0.38498210781733083,-0.23651085637258948,0.03668374375265885,0.10529553889076997,0.12236093133622643,0.012037463165673903,0.06885489137847095,0.1083730714308862,0.26456921573827447,0.16920999677730345
