component,feature,loading,abs_loading
PC1,Days_Before_Period,0.42418299087267575,0.42418299087267575
PC1,Commitment_Ratio,-0.4236580740499979,0.4236580740499979
PC1,Revision_Number,-0.3898614159405114,0.3898614159405114
PC1,forecast_to_committed_ratio,0.38498210781733083,0.38498210781733083
PC1,Forecast_Stability_Score,0.3026481540553796,0.3026481540553796
PC2,Committed_Spend,0.4405881794586055,0.4405881794586055
PC2,Previous_Forecast_Spend,0.4279730795588935,0.4279730795588935
PC2,Forecast_Change,-0.41840696775062786,0.41840696775062786
PC2,Forecast_Spend,0.3048191360145728,0.3048191360145728
PC2,forecast_change_pct,-0.30467948535684525,0.30467948535684525
PC3,forecast_version_quarter,0.600556321378244,0.600556321378244
PC3,forecast_version_month,0.6002511811903966,0.6002511811903966
PC3,Programme_Change_Impact_Index,-0.2846981321429858,0.2846981321429858
PC3,Programme_Change_Count,-0.22650813627377558,0.22650813627377558
PC3,Programme_Scope_Churn_Index,-0.18474028007670243,0.18474028007670243
PC4,forecast_change_pct,0.4421620257743497,0.4421620257743497
PC4,Forecast_Spend,0.41879446240670926,0.41879446240670926
PC4,Forecast_Stability_Score,-0.36218175560553256,0.36218175560553256
PC4,Committed_Spend,0.32768559229282695,0.32768559229282695
PC4,forecast_version_month,-0.30974494885828696,0.30974494885828696
PC5,Programme_Scope_Churn_Index,0.4760809177410176,0.4760809177410176
PC5,Programme_Change_Count,0.4608957857813819,0.4608957857813819
PC5,Programme_Change_Impact_Index,0.3841743770488521,0.3841743770488521
PC5,forecast_change_pct,0.33357106936816094,0.33357106936816094
PC5,Forecast_Stability_Score,-0.2696784524433144,0.2696784524433144
